地址,户型,面积,朝向,装修,楼层,购买时间,总价,单价,关注度,发布时间,链接
加州水郡二期,3室2厅,144.15,南 北,精装,9层,2007年,320.0,22200,13, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125636247.html
上地东里,2室1厅,58.8,南 北,精装,中楼层(共6层),板楼,868.0,147620,11, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123381038.html
天秀花园古月园,4室2厅,183.36,南 北,精装,底层(共7层),板楼,1250.0,68172,35, 5个月以前发布,https://bj.lianjia.com/ershoufang/101122223628.html
晨光家园B区,3室1厅,133.96,南 北,精装,21层,2008年,837.0,62482,15, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125498890.html
亦庄北岸,1室0厅,38.78,西,其他,低楼层(共12层),2008年,135.0,34812,11, 8个月以前发布,https://bj.lianjia.com/ershoufang/101120498255.html
云立方,2室1厅,81.08,南,简装,高楼层(共19层),2014年,282.0,34781,6, 16天以前发布,https://bj.lianjia.com/ershoufang/101124527621.html
首开缇香郡二期,2室1厅,83.18,南 北,精装,中楼层(共11层),2017年,178.0,21400,7, 1个月以前发布,https://bj.lianjia.com/ershoufang/101117927221.html
金晖嘉园,3室1厅,136.4,西南,简装,23层,塔楼,1480.0,108505,25, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125703756.html
手帕口北街,2室1厅,50.45,南,精装,中楼层(共6层),板楼,399.0,79089,449, 一年前发布,https://bj.lianjia.com/ershoufang/101125506313.html
金台北街,2室1厅,60.2,南,毛坯,顶层(共16层),1988年,365.0,60632,15, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125314469.html
洋桥71号院,2室1厅,60.76,东南,简装,高楼层(共18层),1996年,288.0,47400,28, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125401487.html
紫成嘉园,3室2厅,127.25,南 北,精装,顶层(共6层),2006年,1270.0,99804,10, 23天以前发布,https://bj.lianjia.com/ershoufang/101122638285.html
富力华庭苑东区,3室2厅,100.52,南 北,简装,顶层(共9层),2014年,250.0,24871,22, 一年前发布,https://bj.lianjia.com/ershoufang/101124600223.html
鸿业兴园一区,3室2厅,128.15,南 北,精装,高楼层(共16层),2006年,780.0,60867,20, 6个月以前发布,https://bj.lianjia.com/ershoufang/101123187010.html
柏林爱乐二期,1室0厅,49.23,北,简装,中楼层(共21层),2005年,186.0,37782,7, 30天以前发布,https://bj.lianjia.com/ershoufang/101121418912.html
京艺天朗,2室1厅,59.47,东 北,精装,高楼层(共12层),2004年,228.0,38339,7, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123351813.html
车公庄北里,2室1厅,61.09,北 南,简装,地下室(共6层),1995年,399.0,65314,43, 6个月以前发布,https://bj.lianjia.com/ershoufang/101123387949.html
亮甲店小区,2室1厅,58.5,南 北,简装,顶层(共7层),1998年,378.0,64616,20, 5个月以前发布,https://bj.lianjia.com/ershoufang/101122406622.html
东大街东里,2室1厅,74.76,南 北,精装,顶层(共6层),板楼,315.0,42135,53, 一年前发布,https://bj.lianjia.com/ershoufang/101125555311.html
新康园,1室1厅,67.2,北,简装,中楼层(共32层),2003年,320.0,47620,15, 8个月以前发布,https://bj.lianjia.com/ershoufang/101124676801.html
后现代城C区,2室1厅,86.63,西,简装,中楼层(共28层),2007年,525.0,60603,8, 19天以前发布,https://bj.lianjia.com/ershoufang/101123257725.html
蓝桥驿苑,1室1厅,55.29,南 北,简装,低楼层(共12层),2014年,118.0,21343,2, 30天以前发布,https://bj.lianjia.com/ershoufang/101124108333.html
绿林苑,2室1厅,95.89,东 南 北,精装,低楼层(共7层),板楼,448.0,46721,43, 3个月以前发布,https://bj.lianjia.com/ershoufang/101122638285.html
住欣家园,2室1厅,68.91,西南,简装,中楼层(共26层),2010年,261.0,37876,60, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123089134.html
怡海花园恒丰园,1室1厅,68.82,西南,精装,低楼层(共26层),2006年,379.0,55072,21, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125506313.html
名都园,2室1厅,72.76,东南 西北,精装,低楼层(共6层),板楼,332.0,45630,12, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125401487.html
阳光星苑北区,3室1厅,84.54,南,精装,高楼层(共16层),2014年,355.0,41992,12, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125555963.html
蓝天花园,2室1厅,90.68,南 北,简装,低楼层(共6层),板楼,125.0,13785,12, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125314469.html
化四小区,2室1厅,62.05,南,简装,低楼层(共3层),板楼,75.0,12088,8, 28天以前发布,https://bj.lianjia.com/ershoufang/101123437907.html
慧忠北里,3室1厅,205.73,东南,精装,中楼层(共24层),塔楼,1098.0,53371,67, 7个月以前发布,https://bj.lianjia.com/ershoufang/101125181220.html
东滨河路2号院,2室1厅,83.24,南 北,简装,低楼层(共16层),1997年,485.0,58266,15, 21天以前发布,https://bj.lianjia.com/ershoufang/101125993607.html
宣武门西大街南区,2室1厅,50.65,南,精装,底层(共12层),板楼,466.0,92004,31, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125158035.html
世界名园D区,2室2厅,97.08,南 北,简装,中楼层(共9层),2016年,125.0,12876,8, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125039549.html
田村山南路18号院,2室1厅,71.31,南 北,精装,低楼层(共6层),1999年,416.0,58337,41, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123931333.html
金地格林6,3室2厅,158.6,南 北,精装,中楼层(共5层),板楼,530.0,33418,6, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123909355.html
黑山东街,3室1厅,55.91,东 南 北,精装,中楼层(共6层),板楼,150.0,26829,36, 5个月以前发布,https://bj.lianjia.com/ershoufang/101124167802.html
顺源里,2室1厅,49.02,东南,简装,中楼层(共12层),1984年,355.0,72420,20, 4个月以前发布,https://bj.lianjia.com/ershoufang/101123030057.html
翠成馨园E区,2室1厅,93.32,东南 北,简装,28层,2009年,339.0,36327,8, 4个月以前发布,https://bj.lianjia.com/ershoufang/101123949272.html
京艺天朗雅园,2室1厅,89.3,南 北,精装,中楼层(共6层),板楼,355.0,39754,8, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125997831.html
汇景苑二区,2室1厅,86.88,南,简装,低楼层(共29层),2016年,386.0,44430,18, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124677472.html
林海园,2室1厅,85.32,南 北,简装,底层(共6层),板楼,155.0,18167,32, 4个月以前发布,https://bj.lianjia.com/ershoufang/101120577896.html
首邑溪谷,3室1厅,59.81,南 北,精装,高楼层(共16层),2012年,327.0,54674,6, 29天以前发布,https://bj.lianjia.com/ershoufang/101124801623.html
10AM新坐标,1室1厅,46.06,南,简装,26层,2005年,229.0,49718,6, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125998141.html
芳怡园,1室1厅,54.68,东 西,简装,10层,板楼,406.0,74251,8, 20天以前发布,https://bj.lianjia.com/ershoufang/101124808740.html
青荷里南山园,2室1厅,82.67,南,精装,中楼层(共29层),2015年,310.0,37499,22, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125447925.html
西便门内大街79号院,2室1厅,52.59,东南,精装,底层(共4层),板楼,466.0,88611,10, 8个月以前发布,https://bj.lianjia.com/ershoufang/101122254163.html
铭科苑,2室1厅,66.3,东 西,精装,6层,板楼,385.0,58070,6, 16天以前发布,https://bj.lianjia.com/ershoufang/101123221922.html
八宝山南路29号院,1室1厅,59.08,南 北,精装,中楼层(共6层),1998年,215.0,36392,1, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125438389.html
地震局宿舍,1室1厅,46.66,南,简装,高楼层(共6层),1994年,179.0,38363,45, 4个月以前发布,https://bj.lianjia.com/ershoufang/101121784853.html
知春路82号院,3室1厅,70.1,西南,简装,中楼层(共18层),2002年,880.0,125535,16, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125110685.html
石佛营西里小区,2室1厅,75.8,南 北,简装,15层,板楼,345.0,45515,19, 6天以前发布,https://bj.lianjia.com/ershoufang/101123371950.html
